Theme,Count
WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,96397
WB_936_ALTERNATIVE_DISPUTE_RESOLUTION,35849
WB_843_DISPUTE_RESOLUTION,35885
WB_2471_PEACEKEEPING,44943
MARITIME_INCIDENT_SELF_IDENTIFIED,3617
TAX_ETHNICITY_FAROESE,1
TAX_WORLDLANGUAGES_FAROESE,1
TAX_FNCACT_SPOKESMAN,32685
TAX_FNCACT_WOMEN,23763
TAX_ETHNICITY_SCOTTISH,586
TAX_WORLDMAMMALS_DOGS,1552
USPEC_POLITICS_GENERAL1,427018
TAX_ETHNICITY_RUSSIAN,244652
TAX_WORLDLANGUAGES_RUSSIAN,247980
TAX_FNCACT_MAN,22373
TAX_WORLDMAMMALS_FISHERS,1
WB_405_BUSINESS_CLIMATE,43948
WB_2531_INSPECTIONS_LICENSING_AND_PERMITS,42026
WB_2530_BUSINESS_ENVIRONMENT,42975
TAX_WORLDLANGUAGES_DANISH,644
TAX_FNCACT_LEADERS,74863
TAX_ETHNICITY_VIETNAMESE,7223
TAX_WORLDLANGUAGES_VIETNAMESE,7223
BORDER,41828
TAX_ETHNICITY_TAIWANESE,3469
TAX_FNCACT_GUARD,9185
GEN_HOLIDAY,9505
SOC_GENERALCRIME,43585
TAX_FNCACT_FISHERMAN,281
WB_635_PUBLIC_HEALTH,18735
WB_2165_HEALTH_EMERGENCIES,6128
WB_1324_EMERGENCY_MEDICAL_SERVICES,756
TAX_FNCACT_MANAGERS,2657
TAX_FNCACT_PRESIDENT,344548
TAX_FNCACT_VOLUNTEERS,3399
TAX_ETHNICITY_SPANISH,2816
TAX_WORLDLANGUAGES_SPANISH,2820
TAX_WORLDFISH_SALMON,285
UNREST_DAY_OF_ACTION,41
TAX_WORLDLANGUAGES_BRUNEI,45794
SOC_POINTSOFINTEREST_HOSPITAL,17843
TAX_FNCACT_MINISTER,227227
WB_1803_TRANSPORT_INFRASTRUCTURE,63674
WB_167_PORTS,18356
SOVEREIGNTY,21936
TAX_FNCACT_PARAMEDICS,191
ENV_POACHING,3329
TAX_WORLDFISH_TUNA,74
ARREST,64129
SOC_POINTSOFINTEREST_AIRPORT,17382
WB_1804_AIRPORTS,18249
TAX_WORLDLANGUAGES_WIRADJURI,54
TAX_FNCACT_ELDERS,485
TAX_WORLDREPTILES_SNAKES,144
ETH_INDIGINOUS,922
WB_2203_HUMAN_RIGHTS,37731
WB_2482_RECONCILIATION,6461
WB_2519_RESPONSES_TO_HUMAN_RIGHTS_ABUSES,6562
TAX_WORLDREPTILES_TURTLE,19
EDUCATION,88060
SOC_POINTSOFINTEREST_SCHOOLS,9844
TAX_FNCACT_WARRIOR,164
TAX_WORLDLANGUAGES_BURRA,6
TAX_FNCACT_TOURISTS,12170
WB_2670_JOBS,47041
WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES,13232
WB_723_PUBLIC_ADMINISTRATION,18015
WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR,13515
TAX_WORLDFISH_EELS,7
TAX_WORLDFISH_SARDINE,17
WB_1156_MONITORING_AND_EVALUATION_SYSTEMS,335
WB_695_POVERTY,38822
WB_706_EVIDENCE_BASED_POLICY,5226
TAX_FNCACT_LAWYER,7318
MARITIME_PIRACY,11516
TAX_WORLDFISH_SARDINES,11
EPU_CATS_MIGRATION_FEAR_MIGRATION,11492
WB_670_ICT_SECURITY,8537
WB_2372_AUTHENTICATION_AND_AUTHORIZATION,996
RAPE,4309
USPEC_POLICY1,146537
TAX_FNCACT_PIRATES,832
PIRACY,1886
ECON_STOCKMARKET,10696
WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS,22657
WB_2120_SATELLITES,16352
WB_2329_ACCESS_AND_CONNECTIVITY,16622
TAX_DISEASE_FEVER,2137
TAX_FNCACT_WALKER,121
TRIAL,50626
WB_1983_HEALTHY_OCEANS,128
WB_1048_MARINE_PROTECTED_AREAS,73
TAX_FNCACT_CRUSADER,172
TAX_FNCACT_SPOKESWOMAN,4555
SOC_POINTSOFINTEREST_ARMY_BASE,223
TAX_MILITARY_TITLE_SOLDIERS,16507
TAX_FNCACT_SOLDIERS,17062
TAX_FNCACT_SAILORS,624
TAX_ETHNICITY_SOMALIS,224
TAX_WORLDLANGUAGES_SOMALIS,224
RELATIONS,20437
WB_2943_SWITCHES,1069
WB_667_ICT_INFRASTRUCTURE,5232
WB_672_NETWORK_MANAGEMENT,2247
RURAL,22323
CORRUPTION,50441
EPU_POLICY_POLITICAL,118879
ECON_TAXATION,18714
EPU_POLICY_TAX,10465
EPU_CATS_TAXES,11997
CRIME_CARTELS,1860
SMUGGLING,4995
WB_166_RAILWAYS,26329
URBAN,16075
TAX_FNCACT_CHAIRMAN,68281
DRUG_TRADE,10403
CONSTITUTIONAL,30065
WB_838_PUBLIC_ACCOUNTABILITY_MECHANISMS,2829
EPU_POLICY_LAW,62108
TAX_FNCACT_BUSINESSMEN,3917
IDEOLOGY,25364
WB_1467_EDUCATION_FOR_ALL,16422
WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS,14598
WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET,14727
TAX_FNCACT_ASSISTANT,3853
SELF_IDENTIFIED_ATROCITY,8786
TERROR,103715
WB_2507_HUMAN_RIGHTS_ABUSES_AND_VIOLATIONS,9584
WB_2509_GENOCIDE,2989
TAX_FNCACT_DIRECTORS,2127
TAX_FNCACT_CINEMATOGRAPHER,7
TAX_FNCACT_SUPERVISOR,589
WB_470_EDUCATION,58738
TAX_FNCACT_OPERATOR,1880
POVERTY,35136
TAX_WORLDMAMMALS_RABBIT,147
TAX_FNCACT_PHOTOGRAPHER,316
TAX_AIDGROUPS_AMNESTY_INTERNATIONAL,491
PERSECUTION,1541
DISCRIMINATION,6842
UNGP_FREEDOM_FROM_DISCRIMINATION,3104
TAX_WORLDLANGUAGES_RUSSIA,431747
REFUGEES,16207
TAX_WORLDLANGUAGES_TIMOR,275
TAX_WORLDLANGUAGES_WARM_SPRING,1
TAX_ETHNICITY_THAI,4461
TAX_FNCACT_COMMUNIST,53532
TAX_RELIGION_HINDU,635
TAX_ETHNICITY_HINDU,635
USPEC_UNCERTAINTY1,25680
WB_2462_POLITICAL_VIOLENCE_AND_WAR,48585
TAX_POLITICAL_PARTY_COMMUNIST_PARTY,47949
SELF_IDENTIFIED_HUMAN_RIGHTS,31448
TAX_FNCACT_LEADER,64576
WB_698_TRADE,127130
SANCTIONS,34013
TAX_ETHNICITY_IRISH,437
TAX_WORLDLANGUAGES_IRISH,437
TAX_FNCACT_INSPECTORS,2005
CRISISLEX_C05_NEED_OF_SHELTERS,2567
TAX_AIDGROUPS_GREENPEACE,110
TAX_FNCACT_CREW_MEMBERS,2007
TAX_FNCACT_FOREIGN_MINISTERS,5955
TAX_FNCACT_FOREIGN_MINISTER,43551
TAX_WORLDMAMMALS_CAT,542
WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS,8247
WB_548_PPP_IN_OIL_AND_GAS,7386
WB_2298_REFINERIES,1185
TAX_FNCACT_MINISTERS,23234
EPU_POLICY_POLICY,36320
EVACUATION,9128
CRISISLEX_T09_DISPLACEDRELOCATEDEVACUATED,6172
TAX_FNCACT_VISCOUNT,121
SCIENCE,47920
TAX_FNCACT_PROFESSOR,9544
UNGP_JOB_OPPORTUNITIES_EMPLOYMENT,3497
TAX_FNCACT_PORTFOLIO_MANAGER,35
TAX_FNCACT_ANALYST,9914
TAX_FNCACT_HISTORIAN,713
TAX_WORLDFISH_SHARKS,73
WB_1675_GRADUATION,1361
WB_855_LABOR_MARKETS,8684
WB_1673_PASSIVE_LABOR_MARKETS_POLICIES,1729
WB_697_SOCIAL_PROTECTION_AND_LABOR,14533
TAX_FNCACT_DEVELOPER,733
TAX_FNCACT_CONSULTANT,803
TAX_FNCACT_EMPLOYER,370
WB_2690_CATEGORIES_OF_EMPLOYMENT,3072
WB_2689_JOBS_DIAGNOSTICS,17219
WB_2704_EMPLOYER,1185
NEW_CONSTRUCTION,1949
SURVEILLANCE,5761
ECON_SUBSIDIES,4738
WB_1948_SUBSIDIES,4883
TAX_FNCACT_TRAINED_WORKERS,2
WB_3002_INDUSTRY_CLUSTER,201
SOC_INNOVATION,36008
ECON_UNIONS,2817
ECON_WORLDCURRENCIES_DOLLAR,7444
SLFID_ECONOMIC_DEVELOPMENT,18575
ECON_WORLDCURRENCIES_US_DOLLAR,1633
WB_2847_INDUSTRIAL_POLICIES,390
WB_2769_JOBS_STRATEGIES,22829
WB_1070_ECONOMIC_GROWTH_POLICY,1962
WB_471_ECONOMIC_GROWTH,31699
WB_1075_INDUSTRY_POLICY,596
WB_1281_MANUFACTURING,16952
TAX_FNCACT_EMPLOYEES,8423
WB_1668_LABOR_STANDARDS,2527
WB_1670_TRADE_UNIONS,1717
WB_856_WAGES,3700
WB_1654_ACTIVE_LABOR_MARKET_POLICIES,3746
WB_2019_ANTI_CORRUPTION_LEGISLATION,12072
WB_2020_BRIBERY_FRAUD_AND_COLLUSION,12039
DEMOCRACY,35386
UNGP_POLITICAL_FREEDOMS,9072
TAX_DISEASE_SARS,993
PUBLIC_TRANSPORT,20872
TAX_FNCACT_WORKERS,19802
WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE,12055
WB_2748_EMPLOYMENT,8465
UNSAFE_WORK_ENVIRONMENT,383
WB_2788_LABOR_MARKET_INSTITUTIONS_AND_POLICIES,494
WB_2802_WORKING_CONDITIONS,413
WB_1160_SHOCKS_AND_VULNERABILITY,2814
TAX_FNCACT_PEERS,708
WB_439_MACROECONOMIC_AND_STRUCTURAL_POLICIES,14343
WB_829_FISCAL_DECENTRALIZATION,636
WB_874_LOCAL_FINANCE,634
WB_877_ASSET_MANAGEMENT,481
WB_445_FISCAL_POLICY,5541
ECON_ENTREPRENEURSHIP,13242
TAX_FNCACT_ENTREPRENEUR,837
TAX_FNCACT_MIGRANT_WORKERS,1717
WB_2725_CATEGORIES_OF_WORKERS,2290
WB_2729_MIGRANT_WORKERS,1839
EPU_POLICY_REGULATION,5013
WB_1765_CULTURE_HERITAGE_AND_SUSTAINABLE_TOURISM,125
TAX_DISEASE_CANCER,1993
WB_1431_CANCER,1993
WB_421_SOCIAL_INCLUSION,3833
TAX_ETHNICITY_CZECH,8269
TAX_WORLDLANGUAGES_CZECH,8260
TAX_FNCACT_CHAIRPERSON,4736
WB_476_GREEN_GROWTH,8926
WB_1100_SUSTAINABLE_GROWTH,9867
TAX_FNCACT_DRIVER,3555
WB_738_SOCIAL_COHESION,7576
WB_134_SOCIAL_DEVELOPMENT,17991
WB_1226_INDUSTRIAL_CLUSTERS_AND_VALUE_CHAINS,936
TAX_WORLDLANGUAGES_MANDARIN,1462
TAX_RELIGION_AFRICAN_DIASPORA,84
FOOD_SECURITY,3442
WB_199_FOOD_SECURITY,1761
WB_1967_AGRICULTURAL_RISK_AND_SECURITY,12663
UNGP_AFFORDABLE_NUTRITIOUS_FOOD,1007
TAX_FNCACT_ANGLERS,38
TAX_WORLDFISH_ANGLERS,38
WB_862_GROWTH_POLES_AND_ECONOMIC_ZONES,8708
TAX_ETHNICITY_INDONESIAN,3624
TAX_WORLDLANGUAGES_INDONESIAN,3624
SOC_POINTSOFINTEREST_JAIL,3639
TAX_WORLDMAMMALS_MOUSE,54
TAX_FNCACT_CAPTAINS,141
TAX_FNCACT_CANDIDATES,11421
TAX_FNCACT_SPECULATOR,31
TAX_FNCACT_EXECUTIVE_OFFICER,991
TAX_FNCACT_EXECUTIVE,25354
WB_2937_SILVER,793
TAX_FNCACT_GOLD_MINERS,322
TAX_FNCACT_MINER,1152
TAX_FNCACT_CHIEF,47675
WB_1743_ANTICARTEL_ENFORCEMENT,460
WB_406_COMPETITION_POLICY,1961
WB_2101_ANTITRUST,1708
CRISISLEX_T01_CAUTION_ADVICE,63850
TAX_FNCACT_MINERS,4656
TAX_FNCACT_PRODUCER,2779
TAX_FNCACT_CHIEF_EXECUTIVE_OFFICER,940
TAX_FNCACT_CHIEF_EXECUTIVE,8211
ENV_METALS,3867
TAX_MILITARY_TITLE_OFFICER,6960
TAX_FNCACT_OFFICER,10733
TAX_FNCACT_ADVERTISERS,273
TAX_WORLDMAMMALS_BEAR,4140
WB_845_LEGAL_AND_REGULATORY_FRAMEWORK,26270
WB_1040_COPYRIGHT_LAW,66
WB_851_INTELLECTUAL_PROPERTY_RIGHTS,2695
WB_1039_PROPERTY_LAWS_AND_REGULATIONS,3782
TAX_FNCACT_SPOKESPERSON,34757
TAX_WORLDFISH_DORADO,9
SOC_EMERGINGTECH,2114
TAX_WORLDLANGUAGES_ACCRA,67
WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,10850
WB_1462_WATER_SANITATION_AND_HYGIENE,8619
ENV_COAL,15277
SLFID_ECONOMIC_DEVELOPMENTAID,3406
MOVEMENT_ENVIRONMENTAL,399
SHORTAGE,3415
WB_1535_DISTANCE_EDUCATION,4
WB_494_EDUCATION_AND_ICT,70
WB_2918_RADIO_INSTRUCTION,4
WB_1497_EDUCATION_MANAGEMENT_AND_ADMINISTRATION,15649
TAX_FNCACT_PRINCIPAL,1594
CRIME_LOOTING,726
TAX_FNCACT_NAVAL_OFFICERS,90
WB_963_NATURAL_RESOURCES_LAW,2143
WB_1020_LAW_OF_THE_SEA,2102
UNGP_JOB_OPPORTUNITIES_WORKING_CONDITIONS,799
UNREST_BELLIGERENT,19287
WB_837_OPEN_GOVERNMENT_AND_TRANSPARENCY,613
WB_2031_RIGHT_TO_INFORMATION,613
ECON_CURRENCY_EXCHANGE_RATE,7865
EPU_CATS_SOVEREIGN_DEBT_CURRENCY_CRISES,2009
WB_652_ICT_APPLICATIONS,10787
WB_662_SOCIAL_MEDIA,6821
WB_658_ENTERPRISE_APPLICATIONS,10787
IMMIGRATION,5521
WB_2837_IMMIGRATION,3092
WB_2836_MIGRATION_POLICIES_AND_JOBS,18398
TAX_FNCACT_WRITER,2095
TAX_FNCACT_AGENTS,4177
WB_728_PUBLIC_SERVICE_DELIVERY,3451
WB_410_BUSINESS_LAW_AND_REGULATION,522
WB_417_CORPORATE_GOVERNANCE,54
WB_515_POWER_SECTOR_POLICY_AND_INSTITUTIONS,56
WB_519_UTILITIES_GOVERNANCE_AND_PERFORMANCE,54
WB_1920_FINANCIAL_SECTOR_DEVELOPMENT,31511
WB_847_COMPANY_AND_CORPORATE_LAW,146
WB_332_CAPITAL_MARKETS,4415
WB_721_STATE_OWNED_ENTERPRISES,2758
TAX_ETHNICITY_PORTUGUESE,1042
TAX_WORLDLANGUAGES_PORTUGUESE,1032
WB_2465_REVOLUTIONARY_VIOLENCE,7915
TAX_DISEASE_DISEASE,1467
UNGP_HEALTHCARE,5419
TAX_FNCACT_HIGH_COMMISSIONERS,48
WB_2474_DISARMAMENT_DEMOBILIZATION_REINTEGRATION,1411
WB_932_DEMOBILISATION_DISARMAMENT_AND_REINTEGRATION,1411
ENV_HYDRO,3103
PEACEKEEPING,8833
EXILE,1723
WB_2931_IRON,3833
WB_525_RENEWABLE_ENERGY,6793
WB_527_HYDROPOWER,3035
TAX_FNCACT_BUSINESS_LEADERS,1675
TAX_FNCACT_COMMISSIONERS,644
TAX_FNCACT_AMBASSADORS,2627
TAX_FNCACT_MAGISTRATE,444
ORGANIZED_CRIME,6985
DELAY,13639
DISCRIMINATION_IMMIGRATION_XENOPHOBIA,491
CRISISLEX_O01_WEATHER,17193
SLFID_ECONOMIC_POWER,667
TAX_ETHNICITY_ASIAN,29961
KIDNAP,6139
WB_2944_SERVERS,1179
WB_671_STORAGE_MANAGEMENT,1179
TAX_WORLDMAMMALS_LION,3886
TAX_FNCACT_ASSOCIATE_DIRECTOR,70
TAX_FNCACT_CITIZENS,23565
CRISISLEX_T04_INFRASTRUCTURE,15584
SOC_POINTSOFINTEREST_JAILS,237
WB_2467_TERRORISM,33354
SOC_ECONCOOP,12192
TAX_FNCACT_DEPUTY,65161
MOVEMENT_WOMENS,1411
WB_919_GENDER_AND_HUMAN_DEVELOPMENT,1448
UNGP_GENDER_EQUALITY,794
TAX_WORLDLANGUAGES_MENG,7351
WB_615_GENDER,2239
WB_2667_RURAL_DEVELOPMENT,697
WB_477_INCLUSIVE_GROWTH,1095
INEQUALITY,680
ECON_MOU,3127
TAX_FNCACT_EXECUTIVE_DIRECTOR,1527
LGBT,1611
TAX_RELIGION_MUSLIM,5469
TAX_ETHNICITY_MUSLIM,5459
TAX_WORLDLANGUAGES_AZERBAIJAN,37892
MEDIA_CENSORSHIP,3595
TAX_FNCACT_DIPLOMATS,4937
RETALIATE,2580
TAX_ETHNICITY_MAURITANIA,1029
TAX_FNCACT_DIPLOMAT,4482
FREESPEECH,2591
WB_376_INNOVATION_TECHNOLOGY_AND_ENTREPRENEURSHIP,3368
WB_1917_INTELLECTUAL_PROPERTY,2612
WB_377_FIRM_INNOVATION_PRODUCTIVITY_AND_GROWTH,2720
PROPERTY_RIGHTS,2488
WB_1907_PERSONAL_PROPERTY_RIGHTS,2169
VETO,2211
HUMAN_RIGHTS_ABUSES_ARBITRARY_EXECUTIONS,5
HUMAN_RIGHTS_ABUSES_EXTRAJUDICIAL,137
ELECTION,94230
TAX_FNCACT_PHILANTHROPIST,46
ECON_FOREIGNINVEST,5705
WB_2601_TRADE_LINKAGES_SPILLOVERS_AND_CONNECTIVITY,4984
WB_772_TRADE_FACILITATION_AND_LOGISTICS,5745
WB_866_CONNECTIVITY_AND_LAGGING_REGIONS,4751
WB_797_NATIONAL_URBAN_POLICIES,4944
TAX_WORLDBIRDS_MAO,2811
ENV_SOLAR,3629
TRANSPARENCY,9155
WB_2008_WATER_TREATMENT,527
ENV_GREEN,2858
ECON_DEVELOPMENTORGS_AFRICAN_DEVELOPMENT_BANK,108
WB_2840_INTEGRATION,15202
WB_165_AIR_TRANSPORT,11398
WB_164_MODES_OF_TRANSPORT,11799
TAX_FNCACT_MANUFACTURER,2157
ECON_MIDDLECLASS,655
WB_1153_MIDDLE_CLASS,768
WB_1152_ECONOMIC_AND_SOCIAL_MOBILITY,782
WB_707_POVERTY_MEASUREMENT_AND_ANALYSIS,782
TAX_FNCACT_FATHERS,138
TAX_ETHNICITY_BLACK,9922
TAX_FNCACT_SOUND_ENGINEER,2
SOC_POINTSOFINTEREST_UNIVERSITIES,3538
TAX_FNCACT_FACULTY,653
WB_1703_POWER_DISTRIBUTION,102
WB_508_POWER_SYSTEMS,13739
TAX_FNCACT_PERCUSSIONIST,2
TAX_FNCACT_STUDENTS,16858
SOC_POINTSOFINTEREST_AIRPORTS,1929
TAX_FNCACT_STUDENT,6107
RELIGION,24035
TAX_FNCACT_ENGINEER,2043
TAX_FNCACT_MARQUIS,42
TAX_FNCACT_CHIEF_JUSTICE,1018
SOC_POINTSOFINTEREST_UNIVERSITY,28191
TAX_FNCACT_SPEAKER,14251
TAX_RELIGION_CATHOLIC,1017
TAX_ETHNICITY_INDIGENOUS,871
WB_1358_GENERIC_DRUGS,311
TAX_FNCACT_PRIESTS,95
TAX_ETHNICITY_KOREANS,620
TAX_WORLDLANGUAGES_KOREANS,620
TAX_FNCACT_MERCHANT,252
TAX_FNCACT_REGULATORS,1413
ECON_DEBT,11158
WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,16119
WB_450_DEBT,12496
ECON_MONOPOLY,1730
WB_713_PUBLIC_FINANCE,5094
WB_718_PUBLIC_INVESTMENT_MANAGEMENT,92
WB_2299_PIPELINES,6467
TAX_FNCACT_INDUSTRIALIST,92
UNGP_CLIMATE_CHANGE_ACTION,4131
ECON_TRADE_DISPUTE,3512
DISCRIMINATION_RACE_RACISM,679
TAX_WORLDINSECTS_BEE,158
VIOLENT_UNREST,2926
TAX_FNCACT_FATHER,4222
TAX_RELIGION_JEWS,1600
APPOINTMENT,17166
TAX_WORLDMAMMALS_GOATS,177
TAX_WORLDMAMMALS_SHEEP,581
TAX_FOODSTAPLES_BREAD,390
TAX_FNCACT_SERVANT,379
TAX_FOODSTAPLES_WHEAT,1019
EPU_POLICY_LEGISLATION,4296
TAX_FNCACT_SHEPHERD,153
ACT_MAKESTATEMENT,6370
TAX_MILITARY_TITLE_CAPTAIN,1587
TAX_FNCACT_CAPTAIN,1615
TAX_FNCACT_SKIPPERS,20
ENV_OIL,34735
TAX_FNCACT_STAFF_MEMBER,284
SOC_QUARANTINE,2304
TAX_FNCACT_VETERINARIAN,31
WB_775_TRADE_POLICY_AND_INTEGRATION,9612
WB_780_TRADE_IN_SERVICES,656
WB_168_ROADS_AND_HIGHWAYS,5565
WB_1809_HIGHWAYS,5487
UNGP_PHONE_INTERNET_ACCESS_SLOW,29
UNGP_PHONE_INTERNET_ACCESS_COST,139
ECON_EMERGINGECON,6207
EPU_POLICY_REGULATORY,1886
WB_1121_TAXATION,3724
TAX_FNCACT_PRIME_MINISTERS,2383
TAX_FNCACT_PRIME_MINISTER,97892
TAX_FNCACT_COURIER,584
TAX_DISEASE_OUTBREAK,2934
WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE,5388
